Uptime,Volts,Temp,Door,I,N
2625,11.89,19.75,0,1,867
2628,11.89,19.75,0,1,868
2631,11.91,19.75,0,1,869
2634,11.91,19.75,0,1,870
2637,11.89,19.75,0,1,871
2640,11.91,19.75,0,1,872
2643,11.89,19.75,0,1,873
2646,11.91,19.75,0,1,874
2649,11.91,19.83,0,1,875
2652,11.89,19.75,0,1,876
2655,11.91,19.75,0,1,877
2658,11.89,19.83,0,1,878
2661,11.91,19.83,0,1,879
2664,11.89,19.92,0,1,880
2667,11.91,19.92,0,1,881
2670,11.91,19.83,0,1,882
2673,11.91,19.92,0,1,883
2677,11.89,19.92,0,1,884
2680,11.91,19.92,0,1,885
2683,11.89,19.92,0,1,886
2686,11.89,19.83,0,1,887
2689,11.91,19.83,0,1,888
2692,11.89,19.83,0,1,889
2695,11.91,19.75,0,1,890
2698,11.89,19.83,0,1,891
2701,11.91,19.83,0,1,892
2704,11.91,19.75,0,1,893
2707,11.91,19.75,0,1,894
2710,11.91,19.75,0,1,895
2713,11.91,19.75,0,1,896
2716,11.89,19.75,0,1,897
2719,11.89,19.75,0,1,898
2722,11.89,19.75,0,1,899
2725,11.91,19.75,0,1,900
2728,11.89,19.75,0,1,901
2731,11.89,19.75,0,1,902
2734,11.91,19.75,0,1,903
2737,11.89,19.75,0,1,904
2740,11.91,19.66,0,1,905
2743,11.91,19.75,0,1,906
2746,11.89,19.75,0,1,907
2749,11.89,19.75,0,1,908
2752,11.91,19.66,0,1,909
2755,11.89,19.66,0,1,910
2758,11.89,19.75,0,1,911
2761,11.89,19.75,0,1,912
2764,11.91,19.75,0,1,913
2767,11.91,19.66,0,1,914
2770,11.89,19.66,0,1,915
2773,11.91,19.66,0,1,916
2776,11.89,19.66,0,1,917
2780,11.89,19.66,0,1,918
2783,11.91,19.66,0,1,919
2786,11.89,19.66,0,1,920
2789,11.89,19.66,0,1,921
2792,11.91,19.57,0,1,922
2795,11.89,19.66,0,1,923
2798,11.89,19.66,0,1,924
2801,11.89,19.66,0,1,925
2804,11.89,19.57,0,1,926
2807,11.89,19.57,0,1,927
2810,11.84,19.66,0,1,928
2813,11.89,19.66,0,1,929
2816,11.89,19.66,0,1,930
2819,11.89,19.66,0,1,931
2822,11.89,19.66,0,1,932
2825,11.89,19.66,0,1,933
2828,11.89,19.66,0,1,934
2831,11.89,19.66,0,1,935
2834,11.89,19.66,0,1,936
2837,11.89,19.66,0,1,937
2840,11.89,19.66,0,1,938
2843,11.89,19.75,0,1,939
2846,11.89,19.66,0,1,940
2849,11.89,19.75,0,1,941
2852,11.89,19.75,0,1,942
2855,11.89,19.75,0,1,943
2858,11.89,19.75,0,1,944
2861,11.89,19.75,0,1,945
2864,11.89,19.75,0,1,946
2867,11.89,19.66,0,1,947
2870,11.89,19.66,0,1,948
2873,11.89,19.66,0,1,949
2876,11.89,19.66,0,1,950
2880,11.89,19.66,0,1,951
2883,11.82,19.66,0,1,952
2886,11.89,19.75,0,1,953
2889,11.89,19.75,0,1,954
2892,11.89,19.66,0,1,955
2895,11.89,19.75,0,1,956
2898,11.89,19.75,0,1,957
2901,11.89,19.75,0,1,958
2904,11.89,19.75,0,1,959
2907,11.89,19.75,0,1,960
2910,11.89,19.75,0,1,961
2913,11.89,19.75,0,1,962
2916,11.89,19.75,0,1,963
2919,11.89,19.83,0,1,964
2922,11.89,19.75,0,1,965
2925,11.89,19.75,0,1,966
2928,11.89,19.75,0,1,967
2931,11.89,19.83,0,1,968
2934,11.89,19.75,0,1,969
2937,11.89,19.75,0,1,970
2940,11.89,19.75,0,1,971
2943,11.89,19.83,0,1,972
2946,11.89,19.75,0,1,973
2949,11.89,19.75,0,1,974
2952,11.89,19.75,0,1,975
2955,11.89,19.75,0,1,976
2958,11.89,19.75,0,1,977
2961,11.89,19.83,0,1,978
2964,11.89,19.75,0,1,979
2967,11.89,19.83,0,1,980
2970,11.89,19.83,0,1,981
2973,11.89,19.75,0,1,982
2976,11.89,19.75,0,1,983
2979,11.89,19.75,0,1,984
2982,11.89,19.75,0,1,985
2986,11.84,19.75,0,1,986
2989,11.89,19.75,0,1,987
2992,11.89,19.75,0,1,988
